neighbors,.metric,.estimator,mean,n,std_err,.config
1,accuracy,multiclass,0.7494234079173838,5,0.02120649994395176,Preprocessor1_Model01
2,accuracy,multiclass,0.7494234079173838,5,0.02120649994395176,Preprocessor1_Model02
3,accuracy,multiclass,0.5998924268502582,5,0.02483969496784338,Preprocessor1_Model03
4,accuracy,multiclass,0.543886976477338,5,0.01823001819569045,Preprocessor1_Model04
5,accuracy,multiclass,0.4564084911072863,5,0.013383188505351954,Preprocessor1_Model05
6,accuracy,multiclass,0.437008032128514,5,0.014926531542484734,Preprocessor1_Model06
7,accuracy,multiclass,0.4030837636259323,5,0.010606748931334058,Preprocessor1_Model07
8,accuracy,multiclass,0.40546471600688466,5,0.011605418523442993,Preprocessor1_Model08
9,accuracy,multiclass,0.3788353413654618,5,0.01692181386211275,Preprocessor1_Model09
10,accuracy,multiclass,0.3689213998852553,5,0.02516312726348164,Preprocessor1_Model10
11,accuracy,multiclass,0.3470166379804934,5,0.03164845536391601,Preprocessor1_Model11
12,accuracy,multiclass,0.36457831325301204,5,0.022566468983274177,Preprocessor1_Model12
13,accuracy,multiclass,0.3380349971313827,5,0.016490151575099792,Preprocessor1_Model13
14,accuracy,multiclass,0.3187205966724039,5,0.01734532564903418,Preprocessor1_Model14
15,accuracy,multiclass,0.31393430866322436,5,0.017927015108927427,Preprocessor1_Model15
16,accuracy,multiclass,0.32577739529546756,5,0.017367187367477166,Preprocessor1_Model16
17,accuracy,multiclass,0.34041594951233506,5,0.010695014084744398,Preprocessor1_Model17
18,accuracy,multiclass,0.34996844520940906,5,0.017035179834236476,Preprocessor1_Model18
19,accuracy,multiclass,0.33574440619621343,5,0.013591314769244188,Preprocessor1_Model19
20,accuracy,multiclass,0.3429446356855995,5,0.010340370847281897,Preprocessor1_Model20
21,accuracy,multiclass,0.33023952954675845,5,0.01992469759488999,Preprocessor1_Model21
